mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1550529956817627,0.022953424041391557,0.010717296600341797,0.001837008939159465,0.05,7,100,0.5,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.8833597898483276,0.9242907166481018,0.914098858833313,0.8558601140975952,0.9243861436843872,0.900399124622345,0.02686235417279714,20
0.156097936630249,0.016272710003887043,0.011288738250732422,0.00124376744612897,0.05,7,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 100, 'model__subsample': 1}",0.8743270039558411,0.9225929975509644,0.9163323640823364,0.8562625050544739,0.9234373569488525,0.8985904455184937,0.02788776192675006,22
0.2669514656066895,0.0406818139788852,0.014624691009521485,0.002605533434921365,0.05,7,200,0.5,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.8898597359657288,0.9291232824325562,0.9160823822021484,0.8648070096969604,0.9265164732933044,0.9052777767181397,0.02454395582858977,9
0.27946767807006834,0.042705462492796255,0.011995029449462891,0.0007771137103989472,0.05,7,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1}",0.8826648592948914,0.9259861707687378,0.9170199632644653,0.8651720881462097,0.9286655187606812,0.9039017200469971,0.02539309212089115,11
0.08457012176513672,0.017402337469388334,0.010250282287597657,0.0006877216112395724,0.1,3,100,0.5,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.8950637578964233,0.9136802554130554,0.8924059867858887,0.8779983520507812,0.9319798946380615,0.902225649356842,0.01871471885555577,15
0.07609729766845703,0.009663509338083905,0.010872554779052735,0.001201677098169575,0.1,3,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1}",0.8925560712814331,0.913619875907898,0.8987258672714233,0.8734918236732483,0.9291286468505859,0.9015044569969177,0.018880577501560223,17
0.15427765846252442,0.029740657692091367,0.010742616653442384,0.0005553067597714312,0.1,3,200,0.5,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.8927384614944458,0.9272841215133667,0.9072333574295044,0.884270966053009,0.945364236831665,0.9113782286643982,0.022394065028284157,2
0.14493565559387206,0.03582766154884837,0.011401224136352538,0.00033311617943592505,0.1,3,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1}",0.8884695768356323,0.927293062210083,0.9120262265205383,0.8821831345558167,0.9403678774833679,0.9100679755210876,0.02219314127733334,3
0.12211236953735352,0.014894331740026702,0.011329317092895507,0.0018840348469191266,0.1,5,100,0.5,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.8937904238700867,0.9291810989379883,0.9173125624656677,0.8520728349685669,0.9431288242340088,0.9070971488952637,0.031922033787401556,8
0.11124391555786133,0.017608381709285362,0.01089925765991211,0.0008857188076966791,0.1,5,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1}",0.8960947394371033,0.9278866648674011,0.9156553745269775,0.8670055270195007,0.9387970566749573,0.909087872505188,0.025372850094614055,4
